Stanford CS229: Machine Learning Course, Lecture 1 - Andrew Ng (Autumn 2018): https://www.youtube.com/watch?v=jGwO_UgTS7I
Stanford CS229: Machine Learning - Linear Regression and Gradient Descent |  Lecture 2 (Autumn 2018): https://www.youtube.com/watch?v=4b4MUYve_U8
Locally Weighted & Logistic Regression | Stanford CS229: Machine Learning - Lecture 3 (Autumn 2018): https://www.youtube.com/watch?v=het9HFqo1TQ
Lecture 4 - Perceptron & Generalized Linear Model | Stanford CS229: Machine Learning (Autumn 2018): https://www.youtube.com/watch?v=iZTeva0WSTQ
Lecture 5 - GDA & Naive Bayes | Stanford CS229: Machine Learning Andrew Ng (Autumn 2018): https://www.youtube.com/watch?v=nt63k3bfXS0
Lecture 6 - Support Vector Machines | Stanford CS229: Machine Learning Andrew Ng (Autumn 2018): https://www.youtube.com/watch?v=lDwow4aOrtg
Lecture 7 - Kernels | Stanford CS229: Machine Learning Andrew Ng (Autumn 2018): https://www.youtube.com/watch?v=8NYoQiRANpg
Lecture 8 - Data Splits, Models & Cross-Validation | Stanford CS229: Machine Learning (Autumn 2018): https://www.youtube.com/watch?v=rjbkWSTjHzM
Lecture 9 - Approx/Estimation Error & ERM | Stanford CS229: Machine Learning (Autumn 2018): https://www.youtube.com/watch?v=iVOxMcumR4A
Lecture 10 - Decision Trees and Ensemble Methods | Stanford CS229: Machine Learning (Autumn 2018): https://www.youtube.com/watch?v=wr9gUr-eWdA
Lecture 11 - Introduction to Neural Networks | Stanford CS229: Machine Learning (Autumn 2018): https://www.youtube.com/watch?v=MfIjxPh6Pys
Lecture 12 - Backprop & Improving Neural Networks | Stanford CS229: Machine Learning (Autumn 2018): https://www.youtube.com/watch?v=zUazLXZZA2U
Lecture 13 - Debugging ML Models and Error Analysis | Stanford CS229: Machine Learning (Autumn 2018): https://www.youtube.com/watch?v=ORrStCArmP4
Lecture 14 - Expectation-Maximization Algorithms | Stanford CS229: Machine Learning (Autumn 2018): https://www.youtube.com/watch?v=rVfZHWTwXSA
Lecture 15 - EM Algorithm & Factor Analysis | Stanford CS229: Machine Learning Andrew Ng -Autumn2018: https://www.youtube.com/watch?v=tw6cmL5STuY
Lecture 16 - Independent Component Analysis & RL | Stanford CS229: Machine Learning (Autumn 2018): https://www.youtube.com/watch?v=YQA9lLdLig8
Lecture 17 - MDPs & Value/Policy Iteration | Stanford CS229: Machine Learning Andrew Ng (Autumn2018): https://www.youtube.com/watch?v=d5gaWTo6kDM
Lecture 18 - Continous State MDP & Model Simulation | Stanford CS229: Machine Learning (Autumn 2018): https://www.youtube.com/watch?v=QFu5nuc-S0s
Lecture 19 - Reward Model & Linear Dynamical System | Stanford CS229: Machine Learning (Autumn 2018): https://www.youtube.com/watch?v=0rt2CsEQv6U
RL Debugging and Diagnostics | Stanford CS229: Machine Learning Andrew Ng - Lecture 20 (Autumn 2018): https://www.youtube.com/watch?v=pLhPQynL0tY
