feature,importance
curvature,0.3650169766214774
lighting_night,0.2691758999797917
speed_limit,0.25268778458113345
weather_clear,0.07621458276013082
num_reported_accidents,0.03530675941704852
weather_foggy,0.0003924314352420835
weather_rainy,0.0002357792160962514
holiday_True,0.00014305625160200306
public_road_True,0.0001317959365421936
num_lanes,0.000123190911619602
holiday_False,0.00012124511200257503
public_road_False,9.115786396067947e-05
lighting_daylight,7.937983129542732e-05
time_of_day_evening,4.4028921770606816e-05
time_of_day_morning,3.3209345799020854e-05
road_signs_present_True,2.9615414901145162e-05
road_signs_present_False,2.8995058627430834e-05
road_type_urban,2.8544415917303026e-05
road_type_highway,2.8160912377582002e-05
school_season_True,2.2413799800075503e-05
lighting_dim,2.180758271897271e-05
road_type_rural,2.041137765938498e-05
time_of_day_afternoon,1.5596355442123476e-05
school_season_False,7.176897043509757e-06
