feature,importance
lighting_night,0.51931787
speed_limit,0.2042008
weather_clear,0.13055174
curvature,0.11036612
num_reported_accidents,0.026849126
weather_foggy,0.0017160124
weather_rainy,0.0010486743
holiday_False,0.0008497498
lighting_daylight,0.0007341679
public_road_False,0.00072323804
time_of_day_morning,0.00046322134
time_of_day_evening,0.0004157308
lighting_dim,0.00038275152
road_signs_present_False,0.00038197637
school_season_False,0.00036881483
num_lanes,0.00035421233
road_type_highway,0.00034169774
road_type_urban,0.0003189138
time_of_day_afternoon,0.00031131055
road_type_rural,0.0003038773
road_signs_present_True,0.0
public_road_True,0.0
holiday_True,0.0
school_season_True,0.0
