,0
lighting_night,0.51086414
speed_limit,0.2091089
weather_clear,0.14104317
curvature,0.10307401
num_reported_accidents,0.027204653
weather_foggy,0.0015535919
holiday_False,0.00093231833
weather_rainy,0.0008740219
public_road_False,0.00073691015
lighting_daylight,0.00066076475
lighting_dim,0.00064505363
time_of_day_morning,0.000459652
time_of_day_evening,0.0003986134
num_lanes,0.00037901875
road_signs_present_False,0.00036985942
road_type_urban,0.00035418922
time_of_day_afternoon,0.0003447563
road_type_highway,0.00034357098
road_type_rural,0.0003298284
school_season_False,0.00032297958
road_signs_present_True,0.0
public_road_True,0.0
holiday_True,0.0
school_season_True,0.0
