iter	Passed	Remaining
0	137	41084
1	289	43128
2	397	39311
3	539	39928
4	684	40402
5	804	39434
6	897	37572
7	979	35750
8	1082	35014
9	1188	34467
10	1296	34066
11	1416	33984
12	1571	34704
13	1693	34605
14	1778	33790
15	1897	33678
16	1995	33218
17	2125	33296
18	2261	33440
19	2380	33333
20	2507	33314
21	2654	33545
22	2773	33402
23	2869	32998
24	2992	32917
25	3090	32566
26	3176	32115
27	3275	31814
28	3383	31616
29	3517	31654
30	3672	31864
31	3797	31804
32	3925	31761
33	4064	31798
34	4186	31699
35	4318	31668
36	4443	31588
37	4564	31471
38	4705	31490
39	4832	31409
40	4958	31320
41	5096	31305
42	5225	31230
43	5376	31280
44	5504	31193
45	5627	31074
46	5723	30808
47	5868	30809
48	6009	30782
49	6149	30748
50	6270	30615
51	6397	30511
52	6530	30433
53	6660	30342
54	6773	30173
55	6916	30137
56	7053	30068
57	7182	29966
58	7324	29919
59	7465	29863
60	7624	29874
61	7753	29764
62	7872	29617
63	8036	29632
64	8225	29736
65	8375	29693
66	8511	29600
67	8652	29520
68	8782	29403
69	8928	29337
70	9068	29250
71	9208	29159
72	9340	29043
73	9477	28943
74	9601	28805
75	9740	28708
76	9896	28659
77	10029	28546
78	10162	28430
79	10313	28361
80	10439	28224
81	10591	28157
82	10732	28059
83	10873	27959
84	11018	27869
85	11153	27754
86	11293	27650
87	11426	27528
88	11568	27426
89	11727	27365
90	11880	27285
91	12025	27187
92	12153	27050
93	12275	26901
94	12434	26832
95	12561	26692
96	12715	26611
97	12853	26493
98	13001	26396
99	13129	26259
100	13255	26116
101	13382	25976
102	13533	25884
103	13652	25730
104	13798	25625
105	13928	25491
106	14046	25336
107	14162	25177
108	14277	25017
109	14414	24897
110	14555	24782
111	14692	24663
112	14839	24557
113	14979	24440
114	15081	24262
115	15217	24138
116	15338	23990
117	15483	23880
118	15622	23762
119	15745	23618
120	15896	23516
121	16040	23403
122	16193	23303
123	16337	23189
124	16468	23055
125	16619	22950
126	16738	22801
127	16880	22682
128	16998	22532
129	17158	22438
130	17269	22278
131	17408	22155
132	17508	21984
133	17624	21833
134	17726	21665
135	17813	21480
136	17964	21373
137	18097	21244
138	18236	21122
139	18374	20999
140	18502	20864
141	18637	20737
142	18789	20628
143	18907	20482
144	19035	20348
145	19175	20226
146	19302	20090
147	19446	19971
148	19574	19837
149	19705	19705
150	19837	19574
151	19979	19453
152	20113	19324
153	20232	19181
154	20326	19015
155	20468	18894
156	20589	18753
157	20698	18602
158	20804	18449
159	20955	18335
160	21094	18211
161	21233	18087
162	21390	17978
163	21535	17858
164	21595	17668
165	21759	17564
166	21887	17431
167	22041	17318
168	22166	17182
169	22303	17055
170	22416	16910
171	22550	16781
172	22660	16634
173	22780	16496
174	22951	16393
175	23063	16249
176	23210	16129
177	23325	15987
178	23449	15851
179	23572	15714
180	23686	15573
181	23803	15433
182	23959	15318
183	24089	15187
184	24171	15025
185	24247	14861
186	24382	14733
187	24496	14593
188	24615	14456
189	24724	14314
190	24808	14157
191	24936	14026
192	25049	13887
193	25126	13728
194	25255	13598
195	25299	13424
196	25332	13245
197	25411	13090
198	25521	12952
199	25636	12818
200	25791	12703
201	25951	12590
202	26051	12448
203	26183	12321
204	26317	12195
205	26447	12068
206	26552	11929
207	26641	11783
208	26746	11645
209	26877	11518
210	26999	11388
211	27135	11263
212	27275	11140
213	27319	10978
214	27353	10814
215	27466	10681
216	27582	10549
217	27636	10395
218	27678	10237
219	27811	10113
220	27845	9953
221	27948	9819
222	28100	9702
223	28229	9577
224	28301	9433
225	28407	9301
226	28505	9167
227	28624	9039
228	28759	8916
229	28886	8791
230	28998	8661
231	29102	8530
232	29222	8403
233	29363	8282
234	29501	8160
235	29621	8032
236	29719	7900
237	29797	7762
238	29925	7637
239	30095	7523
240	30230	7400
241	30348	7273
242	30485	7150
243	30555	7012
244	30688	6889
245	30794	6759
246	30904	6631
247	31038	6508
248	31193	6388
249	31313	6262
250	31389	6127
251	31514	6002
252	31656	5880
253	31795	5758
254	31931	5635
255	32071	5512
256	32214	5389
257	32350	5266
258	32509	5146
259	32631	5020
260	32779	4898
261	32929	4776
262	33089	4655
263	33199	4527
264	33311	4399
265	33488	4280
266	33607	4153
267	33753	4030
268	33906	3907
269	34046	3782
270	34166	3656
271	34286	3529
272	34377	3399
273	34479	3271
274	34644	3149
275	34789	3025
276	34855	2894
277	34989	2768
278	35107	2642
279	35237	2516
280	35382	2392
281	35511	2266
282	35610	2139
283	35711	2011
284	35842	1886
285	35976	1761
286	36060	1633
287	36140	1505
288	36234	1379
289	36382	1254
290	36501	1128
291	36635	1003
292	36745	877
293	36833	751
294	36972	626
295	37125	501
296	37270	376
297	37386	250
298	37506	125
299	37653	0
